company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
ICON,Lab Data Analyst I,3.8,Bengaluru,"₹ 4,21,485",10000+ Employees,1990,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$2 to $5 billion (USD),3.6,3.5,3.7,3.4,3.7
Nineleaps Technology Solutions Pvt Ltd,Data Analyst,4.2,Bengaluru,"₹ 5,72,576",201 to 500 Employees,2014,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,3.8,4,3.8,3.8
Google,"Business Data Scientist, Finance",4.4,Bengaluru,,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.2,4.5,4.3,3.9,4.2
adyog,Data Scientist,,Chennai,"₹ 6,32,851",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable,5,4.1,4.1,5,4.5
Pattern Effects Labs,Data Scientist,,Bengaluru,,,,,,,,,,,,
Streamingo Solutions Office,Data Labeling Quality Specialist,,Bengaluru,"₹ 3,22,452",1 to 50 Employees,2015,Company - Private,Software Development,Information Technology,Less than $1 million (USD),3.8,3.7,4.1,3.7,3.9
COMPEGENCE,Excel Data Scientist with Python and SQL,,Bengaluru,"₹ 1,15,000",,,,,,,,,,,
Amber Internet solutions,Data Analytics Intern,4.3,Pune,,501 to 1000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD),4.2,3.9,4.3,4.1,4
WovV Technologies,"Data Engineer (GIS, ArcGIS, ESRI)",4.7,Remote,,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,4.5,4.5,4.6,4.6,4.6
Tata Consultancy Services,Data Enginner,3.8,Chennai,,10000+ Employees,1968,Company - Public,Software Development,Information Technology,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Ameriprise India,Data Analyst-Digital Analytics,3.8,Gurgaon,,1001 to 5000 Employees,--,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,,,,,
Bradken,Data Scientist,4.3,Coimbatore,"₹ 6,05,338",1001 to 5000 Employees,2003,Company - Public,Machinery Manufacturing,Manufacturing,$100 to $500 million (USD),4.1,3.9,4.1,3.8,4.2
UBS,Data Analyst,3.9,Hyderābād,"₹ 7,27,518",10000+ Employees,1862,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
Tata Consultancy Services,Python + SQL,3.8,Hyderābād,"₹ 4,19,162",10000+ Employees,1968,Company - Public,Software Development,Information Technology,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Sea and Beyond,Data Analyst,5,Mumbai,,,,,,,,,,,,
S&P Global,Data Analyst,4.1,Bengaluru,,10000+ Employees,1860,Company - Public,Research & Development,Management & Consulting,$10+ billion (USD),3.8,3.8,4.2,3.8,4.2
SeedApps Technology Services,Data Analyst,,Coimbatore,,,,,,,,,,,,
Tata consulting engineers,Data Entry Cum Office Assistant,3.8,Bengaluru,"₹ 3,46,627",1001 to 5000 Employees,1962,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$25 to $50 million (USD),3.7,3.3,3.9,3.4,3.6
Google,"Product Data Scientist, Pixel",4.4,Bengaluru,,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.2,4.5,4.3,3.9,4.2
Kovai.co,Data Analyst,4.5,Coimbatore,"₹ 4,38,621",51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.6,4.1,4.3,4.5,4.5
JPMorgan Chase & Co,"Environmental, nature Data Modeller",4,India,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Vernacular.ai,Data Annotator,3.8,Bengaluru,"₹ 2,19,333",51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),3.5,3.8,3.7,3.4,3.8
Comprinno Technologies Pvt. Ltd.,Data Science Engineer,,Remote,"₹ 20,000",,,,,,,,,,,
Trelleborg Sealing Solutions (TSS),DATA ANALYST,3.7,Bengaluru,"₹ 3,87,298",10000+ Employees,1905,Company - Public,Machinery Manufacturing,Manufacturing,$2 to $5 billion (USD),3.3,3.5,3.3,3.2,3.3
Aspire SoftServ,Data Research Associate,,India,,51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
Volvo Group,Experienced Data Scientist,4.1,Bengaluru,"₹ 7,83,182",10000+ Employees,1927,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.8,4.1,3.7,4.1
Kudos India,Data Analysts,3.9,India,,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable,3.8,3.3,3.9,3.9,4.2
JPMorgan Chase & Co,Data Analytics Digital-Associate,4,India,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Rackspace,Support Technician I - Data pipe,3.5,Remote,,1001 to 5000 Employees,1998,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),3.4,3.6,3.6,3.1,3.9
Scienaptic Systems,Data Scientist,4.1,India,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.1,4,4.2,3.9,4
Tata Consultancy Services,Data & Analytics Architect,3.8,Mumbai,"₹ 3,93,199",10000+ Employees,1968,Company - Public,Software Development,Information Technology,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Hudson's Bay Company,Jr. Data Analyst,3.6,Bengaluru,,10000+ Employees,1670,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD),3.2,3.1,3.4,3.1,3.5
Navikenz,Data Visualization,,India,,51 to 200 Employees,2021,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),4.5,3.9,4.5,4.5,4.5
WovV Technologies,Data Scientist,4.7,Pune,"₹ 10,00,000",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,4.5,4.5,4.6,4.6,4.6
iXceed Solutions,Data Analyst,4.7,Gurgaon,"₹ 20,00,000",501 to 1000 Employees,2012,Company - Private,"Staffing, Recruitment & Subcontracting",Human Resources & Staffing,$5 to $25 million (USD),4.7,4.4,4.7,4.6,4.7
NTT Ltd.,Specialist - Data Center Operations,4.2,Karnataka,,10000+ Employees,1952,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),4,3.6,4,3.7,4
RARR Technologies Pvt Ltd,Azure Data Engineer,4.7,Remote,"₹ 25,00,000",1 to 50 Employees,2018,Company - Private,Software Development,Information Technology,Less than $1 million (USD),4.7,4.5,4.9,4.9,4.8
kaleidofin,Data Analyst,3.4,Chennai,,51 to 200 Employees,2017,Company - Private,Investment & Asset Management,Finance,$5 to $25 million (USD),3.1,2.7,2.7,3,2.4
Hotspot Retail,Data Scientist,,Remote,"₹ 35,00,000",,,,,,,,,,,
AXA,Associate Scientist- Data Sourcing & Solutions,4,Bengaluru,"₹ 7,98,123",10000+ Employees,1985,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),3.6,3.6,3.9,3.5,3.9
Concord Technologies,Data Annotator,4.6,Chennai,"₹ 4,23,868",51 to 200 Employees,1996,Company - Private,Computer Hardware Development,Information Technology,$25 to $50 million (USD),4.4,4.5,4.5,4.4,4.4
Tata Consultancy Services,Data Lineage Analyst,3.8,Pune,"₹ 4,13,398",10000+ Employees,1968,Company - Public,Software Development,Information Technology,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Metyis,Data Science Associate,3.7,Bengaluru,"₹ 8,69,483",1001 to 5000 Employees,2013,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.8,3.3,3.9,3.5,4
Simplex Services,Data Analyst/Power BI Reporting,,India,,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.6,4.5,4.9,5,4.7
Wesco,India-Bangalore: Data Steward,3.7,Bengaluru,"₹ 5,80,948",10000+ Employees,1922,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),3.5,3.4,3.6,3.3,3.8
WSD Consultant,Junior Data Scientist/,5,Bengaluru,"₹ 5,79,655",Unknown,--,Company - Private,--,--,Unknown / Non-Applicable,5,3,4,5,4
Findem,Researcher- Data Operations,4.3,Bengaluru,,51 to 200 Employees,2019,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.2,4.3,4.1,4.2,4
Infimetrics,Data Scientist (3+years),,Remote,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3,3,5,4,5
Vervali Systems Pvt. Ltd.,Data Engineer,4.1,Remote,,51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.2,3.3,4.4,4,4.2
Sai Computers Limited,Data Analyst Intern,,Ghaziabad,"₹ 11,000",,,,,,,,,,,
CIGNEX Datamatics,Data quality analysts/engineers,3.3,Bengaluru,"₹ 5,00,799",501 to 1000 Employees,2000,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.2,3.1,3.3,2.9,3.4
Analyse Digital Business Solutions Pvt Ltd,Data Analyst,,Thiruvananthapuram,,,,,,,,,,,,
Intercontinental Exchange,Data Associate,3.8,Hyderābād,"₹ 4,09,878",5001 to 10000 Employees,2000,Company - Public,Stock Exchanges,Finance,$5 to $10 billion (USD),3.5,3.7,3.5,3.3,3.6
Cummins,Data Engineer,4.1,Pune,,10000+ Employees,1919,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.6,4.2,3.7,4
Ericsson,Data Engineer,4.1,Noida,"₹ 7,01,100",10000+ Employees,1876,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),3.8,3.6,4.2,3.6,4.1
RARR Technologies Pvt Ltd,AWS Data Engineer,4.7,Remote,"₹ 25,00,000",1 to 50 Employees,2018,Company - Private,Software Development,Information Technology,Less than $1 million (USD),4.7,4.5,4.9,4.9,4.8
Valeo Health,Data Analyst,,Kormangala,"₹ 8,00,000",,,,,,,,,,,
"Ventra Health, Inc.",Data Engineer,3.3,India,,1001 to 5000 Employees,--,Company - Private,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.2,3,3.2,3,3.5
Orbit & Skyline Semiconductor,Data Analyst,,Mohali,"₹ 5,00,000",,,,,,,,,,,
Equifax,Data Scientist,3.5,Bengaluru,"₹ 9,87,421",10000+ Employees,1899,Company - Public,Business Consulting,Management & Consulting,$2 to $5 billion (USD),3.4,3.4,3.3,3.1,3.4
Schneider Electric,Data Engineer,4.2,Bengaluru,"₹ 7,79,846",10000+ Employees,1836,Company - Public,Energy & Utilities,"Energy, Mining, Utilities",$10+ billion (USD),4.1,3.8,4.2,3.8,4
M&C Saatchi Performance,"Analyst, Data and Analytics",4.3,Delhi,,51 to 200 Employees,2006,Company - Public,Advertising & Public Relations,Media & Communication,$5 to $25 million (USD),4.2,3.6,4.3,4.1,3.8
iCRC,BI Data Analyst,3.9,Bengaluru,"₹ 4,60,906",10000+ Employees,1863,Non-profit Organisation,"Civic, Welfare & Social Services",Non-profit & NGO,Unknown / Non-Applicable,3.3,3.6,3.8,3.1,3.5
Hyqoo,Data Scientist,4.5,Remote,,51 to 200 Employees,2018,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,4.3,4.1,4.5,4.2,3.9
UBS,Data Engineer,3.9,Pune,"₹ 5,79,471",10000+ Employees,1862,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
Google,"Business Data Scientist, Machine Learning Engineering",4.4,Bengaluru,,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.2,4.5,4.3,3.9,4.2
Taurus Technologies Pvt. Ltd,Data Analyst,,India,"₹ 6,00,000",,,,,,,,,,,
Cargill,Data Analyst - Price hub,4.1,Gurgaon,"₹ 6,12,372",10000+ Employees,1865,Company - Private,Crop Production,Agriculture,Unknown / Non-Applicable,3.8,3.9,4.1,3.6,3.8
Wipro,Azure Data Engineer,3.7,Hyderābād,"₹ 5,88,584",10000+ Employees,1945,Company - Public,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),3.6,3.2,3.7,3.3,3.5
Amber Internet solutions,Data Analyst,4.3,Pune,"₹ 4,94,268",501 to 1000 Employees,2016,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD),4.2,3.9,4.3,4.1,4
BDIPlus,Data Engineer ||,4.1,Bengaluru,"₹ 10,25,086",Unknown,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,4,4,3.8,3.5
SUPERDNA 3D LAB,Data Analyst,4,Chandigarh,"₹ 4,67,012",1 to 50 Employees,2017,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.1,3.5,4.2,4,4.2
vMD tech assist Pvt LTD,Clinical Data Handling (DOCTORS ONLY),,Hyderābād,"₹ 60,000",,,,,,,,,,,
UBS,Data Sourcing Analyst,3.9,Pune,"₹ 6,93,988",10000+ Employees,1862,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.6,3.5,3.9,3.5,3.8
Sea and Beyond,Data Entry,5,Mumbai,"₹ 2,01,246",Unknown,--,Company - Private,--,--,Unknown / Non-Applicable,5,5,5,5,5
JPMorgan Chase & Co,Data Operations Associate,4,Bengaluru,"₹ 3,56,835",10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
UnitedHealthcare,Data Analyst 2,3.6,Bengaluru,"₹ 6,63,325",10000+ Employees,--,Company - Public,Healthcare Services & Hospitals,Healthcare,Unknown / Non-Applicable,3.6,3.5,3.7,3.3,3.6
Honeywell,Data Scientist II,4,Bengaluru,"₹ 5,51,990",10000+ Employees,1885,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4.1,3.9,4,3.8,3.8
Nineleaps,Data Engineer,,Bengaluru,"₹ 25,00,000",,,,,,,,,,,
BridgeLoyalty,Data Analyst Job,,Mumbai,"₹ 2,56,905",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,1,1,1,1,1
"Magus Infotech India Pvt. Ltd.,",Trainee Big Data Consultant,,Mumbai,"₹ 8,00,000",,,,,,,,,,,
BigShyft,Data Engineer,3.9,Gurgaon,"₹ 30,00,000",1 to 50 Employees,2018,Company - Private,HR Consulting,Human Resources & Staffing,Less than $1 million (USD),3.7,3.8,3.5,3.3,3.1
Varuna Group,Data Entry Operator,,Raisen,"₹ 84,853",1001 to 5000 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,2.9,2.7,3.2,3.1,2.5
Ambee,Data Scientist,,Bengaluru,"₹ 5,79,655",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
Deloitte,Senior Analyst - CMG - Demand Gen - Data Analysis,4.1,Hyderābād,"₹ 6,03,440",10000+ Employees,1850,Company - Private,Accounting & Tax,Finance,Unknown / Non-Applicable,4.1,4,4.1,3.8,3.3
Novartis,Digital/Device Data Scientist,3.9,Hyderābād,"₹ 6,37,972",Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,,,,,
Ideal Education,Data Caller,,India,,501 to 1000 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,5,4,5,5,5
Nangia & Co LLP,Data Analyst,,Chennai,"₹ 2,75,768",501 to 1000 Employees,1984,Private Practice / Firm,Accounting & Tax,Finance,$100 to $500 million (USD),3.5,3.4,3.3,3,3.5
SmartHelio,Data Scientist,,Delhi,,1 to 50 Employees,--,Unknown,--,--,Unknown / Non-Applicable,4,3.5,4.5,5,3.5
Dignitas Digital,Data Scientists,4.2,Delhi,,1 to 50 Employees,2011,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,4.2,3.5,4.1,4.3,3.9
InfoKrafts,Data Engineer,5,Mumbai,"₹ 5,91,608",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,5,5,4,5,4
Microsoft,Data and Applied Scientist II,4.2,Bengaluru,"₹ 6,07,947",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4,4.1,4.2,3.8,4.1
KPMG,Advisory Data Science Executive,3.8,Pune,"₹ 4,00,000",10000+ Employees,1987,Company - Private,Business Consulting,Management & Consulting,$2 to $5 billion (USD),4,3.3,3.7,3.5,3
Hashmap,Data and Analytics Managing Consultant,3.9,Bengaluru,"₹ 7,94,695",10000+ Employees,1967,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.7,3.4,3.9,3.6,3.9
Moody's,Data Specialist,3.9,Bengaluru,"₹ 8,06,258",10000+ Employees,1900,Company - Public,Research & Development,Management & Consulting,$2 to $5 billion (USD),3.4,3.4,3.8,3.4,3.7
Delivery Centric Technologies,Python & Data Modelling,4,Bengaluru,"₹ 4,16,655",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.8,3.7,3.6,3.7,4.1
ProductLife Group,Data Officer,3.4,Remote,,501 to 1000 Employees,1993,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$25 to $50 million (USD),3.3,2.8,3.1,3,3.6
Amadeus,Data Engineer 2,4.1,Bengaluru,"₹ 6,00,000",10000+ Employees,1987,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),3.9,3.8,4.2,3.6,4.3
JPMorgan Chase & Co,Data Owner - Associate,4,India,,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
ABB,Data Scientist,4,Bengaluru,"₹ 7,73,628",10000+ Employees,1883,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.6,4,3.5,3.9
Apple,Cloud Data Engineer,4.3,Hyderābād,,10000+ Employees,1976,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4,4.2,4.1,3.9,4
iXie Gaming,Game Data Analyst,4.3,Bengaluru,"₹ 6,49,084",501 to 1000 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.3,3.9,4.3,4.2,4.4
JPMorgan Chase & Co,Know Your Customer - Client Data Analyst,4,Bengaluru,"₹ 6,57,267",10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
BlackRock,Analyst Invoice Processing (Data Operations),4,Gurgaon,"₹ 3,87,158",10000+ Employees,1988,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),3.9,3.7,3.9,3.6,3.6
Thinkproject Holding GmbH,Data Scientist (m/f/d),3.3,Pune,"₹ 5,48,368",501 to 1000 Employees,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3.5,3.5,3.6,3.1,4
Genzeon India,Data Engineer,4.2,Pune,,201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.3,3.9,4,4.2,4.1
Aptus Data LAbs,Business Analyst/ Data Analyst,4.1,Bengaluru,"₹ 4,40,688",51 to 200 Employees,2014,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.1,3.8,3.8,3.8,4.2
JPMorgan Chase & Co,KYC Client Data Analyst,4,Hyderābād,"₹ 6,39,359",10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Victoria Realtors,Data Analyst,3.3,India,"₹ 3,50,000",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,3.7,3.7,2.6,3.3,2.3
MetLife,Associate Data Scientist,3.9,Hyderābād,"₹ 3,89,954",10000+ Employees,1868,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),3.6,3.8,3.9,3.6,3.9
INTEL,Data Analyst,4.1,Bengaluru,"₹ 9,41,300",10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),4,3.9,4.2,3.6,4.1
Pfizer,Statistical Data Scientist,4,Chennai,,10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.7,3.9,3.8,3.4,3.8
ScaleIn,Data Scientist,,Bengaluru,"₹ 4,83,915",Unknown,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
MOLECULAR CONNECTIONS,Data Scientist,3.7,Remote,,1001 to 5000 Employees,2001,Company - Private,Healthcare Services & Hospitals,Healthcare,$25 to $50 million (USD),3.6,3.4,3.7,3.7,3.6
Finquest,Data Engineer,3.2,Bengaluru,"₹ 7,50,000",201 to 500 Employees,2016,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,2.9,2.7,3.1,3.1,3.1
Meesho,Data Scientist II,3.5,Bengaluru,"₹ 10,24,695",1001 to 5000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,3.5,3.7,3.4,3.3,3.2
Yellow Bites,Data Analystics,,India,"₹ 16,000",,,,,,,,,,,
Toolyt,Data Analyst,4.8,Jaipur,"₹ 40,000",1 to 50 Employees,--,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,4.9,4.6,4.9,4.9,4.6
CoStrategix,Member Data Analyst,3.9,Bengaluru,"₹ 3,87,298",51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.9,3.5,3.9,3.7,3.6
Emerson,Data Science Engineer 1,3.9,Pune,"₹ 7,94,109",10000+ Employees,1890,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.4,3.9,3.5,3.8
ABB,Data Science & AI Specialist,4,Bengaluru,"₹ 7,73,628",10000+ Employees,1883,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),3.7,3.6,4,3.5,3.9
Michelin,DATA - Scrum Master,4.1,Pune,,10000+ Employees,1889,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),3.8,3.6,4.1,3.5,3.8
Thoucentric,Data Scientist,4.1,Bengaluru,"₹ 8,58,997",201 to 500 Employees,2015,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,3.8,3.5,4.5,4.1,4
EPIC-INDIA,Data Analyst (DPIC),,Bhubaneshwar,"₹ 3,07,409",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,,,,,
Sasken Technologies Limited,ENGINEER - DATA ANALYTICS,3.5,India,,1001 to 5000 Employees,1989,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$25 to $50 million (USD),3.2,3,3.6,3.2,3.4
HP,Data Analyst-Finance,4.1,Bengaluru,"₹ 8,69,528",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,3.7,3.7,4.3,3.8,4.2
NatWest Group,Business Analyst,4.1,Bengaluru,"₹ 4,83,915",10000+ Employees,1727,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.7,3.5,4.2,3.7,4.3
Akamai,Business Systems Analyst - Remote,4.6,Remote,,5001 to 10000 Employees,1998,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),4.3,4.3,4.6,4.2,4.6
4CRisk.ai Software,Data Quality Analyst,4,Bengaluru,,51 to 200 Employees,--,Contract,--,--,Unknown / Non-Applicable,4.3,4.3,4.3,4.8,3.8
PayU,Data Analyst,3.7,Bengaluru,"₹ 3,80,225",1001 to 5000 Employees,2002,Company - Private,Internet & Web Services,Information Technology,$10+ billion (USD),3.6,3.6,3.6,3.4,3.6
Konceive Development Center Pvt. Ltd.,Data Analyst,4.6,Panchkula,"₹ 35,000",1 to 50 Employees,--,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,4.5,4.6,4.5,4.5,4.7
InitiateFirst.,Data Scientist,4.7,Bengaluru,"₹ 5,79,655",51 to 200 Employees,--,Self-employed,--,--,Unknown / Non-Applicable,4.5,4.5,4.5,4.5,5
LXT,Hindi & English - Data Entry Clerk (Transcriber),3.3,Hyderābād,"₹ 26,000",1 to 50 Employees,2010,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,2.8,3.4,3.2,3,3.3
Cognizant Technology Solutions,Data Analyst,3.8,Mumbai,"₹ 3,82,568",10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),3.6,3.4,3.7,3.3,3.6
Leaf workforcez,Data Engineer,,Remote,"₹ 20,00,000",,,,,,,,,,,
prwatech technologies,Data Analyst,,India,"₹ 15,000",,,,,,,,,,,
Helius Technologies,Data Scientist (Machine Learning),4.2,India,,501 to 1000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4,4,4.3,4.1,4.3
Dun & Bradstreet,"Analyst, Data Science (R-15410)",3.9,Chennai,"₹ 5,05,782",5001 to 10000 Employees,1841,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),3.7,3.8,3.9,3.7,4.1
Syneos Health Clinical,Senior Clinical Data Associate,3.8,Remote,,10000+ Employees,--,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,3.5,3.5,3.8,3.5,3.9
Haleon,Data Analyst,3.8,Gurgaon,"₹ 5,36,656",10000+ Employees,2022,Company - Public,Health Care Products Manufacturing,Manufacturing,$10+ billion (USD),3.3,3.9,3.7,3.3,3.7
Built-Right Digital,Digital Marketing Data Analyst,,Remote,,,,,,,,,,,,
JPMorgan Chase & Co,Data Visualization Associate,4,Hyderābād,"₹ 7,42,967",10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Whitespace Global,Data Analyst,,Mumbai,,,,,,,,,,,,
Tata Consultancy Services,Azure data engineer,3.8,Bengaluru,"₹ 4,94,975",10000+ Employees,1968,Company - Public,Software Development,Information Technology,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
KPMG,Risk Advisory Data Analytics Executive,3.8,Mumbai,"₹ 5,09,902",10000+ Employees,1987,Company - Private,Business Consulting,Management & Consulting,$2 to $5 billion (USD),4,3.3,3.7,3.5,3
Zinnov,Math- Data Analyst III,3.9,Bengaluru,"₹ 2,16,304",201 to 500 Employees,2002,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),3.8,3.6,3.8,3.7,3.3
Wild Fox Business Advocacy,Junior Data Analyst,,Calcutta,"₹ 20,500",,,,,,,,,,,
PayPal,Data Scientist,3.9,Bengaluru,"₹ 2,96,029",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.5,3.9,3.9,3.3,4
JPMorgan Chase & Co,Client Data Associate I,4,Bengaluru,"₹ 4,56,586",10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),4,3.9,3.9,3.6,3.7
MiQ Digital,Data Scientist II,3.6,Bengaluru,"₹ 1,43,000",501 to 1000 Employees,2010,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,3.6,3.7,3.7,3.2,3.6
Bosch Group,Data Scientists 2024,4.2,Coimbatore,"₹ 9,75,724",10000+ Employees,1886,Company - Private,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),3.9,3.7,4.2,3.7,4.1
Sanfoundry,Junior Machine Learning Engineer - Fresher,,Noida,,1 to 50 Employees,--,Self-employed,Colleges & Universities,Education,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
AssetSoft,Junior SQL Developer,3.8,India,,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,4.1,3.8,4,4.1,3.9
