company,job_title,company_rating,location,salary_avg_estimate,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
AgilizTech Software Services,Data Analyst,,Bengaluru,"₹ 5,26,498",1 to 50 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4,3.5,4.2,4.1,3.9
ADCI - Haryana - D50,"Data Associate I (German), ML Data Ops",3.7,Gurgaon,"₹ 3,14,223",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),3.7,3.8,3.6,3.3,3.2
Indecomm Global Services,Lead Associate (Data Analysis),4,Bengaluru,"₹ 2,66,623",1001 to 5000 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),3.9,3.6,3.8,3.7,3.9
Marktine Technology Solutions,Data Enginerr(Python + Sql),4.2,Bengaluru,"₹ 16,00,000",51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4,3.7,4.1,4.1,4.3
Flutch Technology Pvt Ltd,Data Entry Intern,,Bengaluru,"₹ 5,500",,,,,,,,,,,
Moody's,Data Analyst,3.9,Bengaluru,"₹ 4,72,696",10000+ Employees,1900,Company - Public,Research & Development,Management & Consulting,$2 to $5 billion (USD),3.4,3.4,3.8,3.4,3.7
Hilabs,Principal Data Scientist,3.6,Bengaluru,"₹ 9,79,796",51 to 200 Employees,2014,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),3.5,3.9,3.4,3.4,3.1
USP (U.S. Pharmacopeial Convention),Associate Data Scientist,3.7,India,,1001 to 5000 Employees,1820,Non-profit Organisation,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$100 to $500 million (USD),3.3,4,3.8,3.5,3.9
Google,"Technical Program Manager, Data Analytics",4.4,Bengaluru,,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),4.2,4.5,4.3,3.9,4.2
Merkle,Customer Analytics / Data Science - Lead Analyst - Analytics,3.7,Bengaluru,"₹ 5,13,142",10000+ Employees,1971,Company - Private,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD),3.5,3.2,3.7,3.3,3.8
Vexma Technologies,Data Entry,4,Vadodara,"₹ 1,50,838",1 to 50 Employees,2015,Company - Private,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable,4.3,3.5,4.4,3.9,3.5
Novartis,Environmental Data & Analytics Expert,3.9,Hyderābād,,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,,,,,
Heptarc Technology Solution,Data Analyst,5,India,,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable,5,5,5,5,5
Sagacious IP,Data Analyst,4.3,Gurgaon,"₹ 2,77,156",201 to 500 Employees,2008,Company - Private,Research & Development,Management & Consulting,Unknown / Non-Applicable,4.4,4,4.2,4.1,3.9
Ignitho,AWS Data Engineer,4.3,Chennai,"₹ 2,50,414",51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.4,4.1,4.3,4.1,4.4
nurture.farm,Data Analyst,4.8,Bengaluru,"₹ 4,94,975",1 to 50 Employees,2016,Private Practice / Firm,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,4.6,3.9,4.8,4.4,4.3
Growisto,Data Management & MIS Associate,4.3,Navi Mumbai,"₹ 5,22,034",51 to 200 Employees,2016,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,4.4,4.2,4.4,4.3,3.9
Wells Fargo,Data Governance Analyst,3.6,Hyderābād,,10000+ Employees,1852,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.5,3.7,3.5,3.1,3.6
